assump_id,assump_cat,assump_desc,assump_unit,assump_value,notes
a0002,carbon credit,county,NA,tulare,NA
a0002,carbon credit,practice,NA,conservation crop rotation (cps 328) - basic rotation,NA
a0002,irrigation,fraction from surface source,frac,1,NA
a0002,irrigation,depth of well,feet,150,NA
a0002,irrigation,pump pressure,psi,25,NA
a0002,irrigation,surface irr eff,frac,0.7,NA
a0002,irrigation,sprinkler irr eff,frac,0.8,NA
a0002,irrigation,drip irr eff,frac,0.9,NA
a0002,n2o direct,fraction of dm not harvested,frac,0.1,NA
a0002,n2o direct,kg of n per kg dm,frac,0.027,NA
a0002,n2o direct,kg roots per kg dm harvested,frac,0.4,NA
a0002,n2o direct,kg n per kg root dm,frac,0.019,NA
a0002,n2o direct,kg n-n2o emitted per kg applied/residue n,frac,0.005,NA
a0002,n2o indirect,"kg n volatized per kg synthetic n, urea",frac,0.15,NA
a0002,n2o indirect,"kg n volatized per kg synthetic n, ammonium",frac,0.08,NA
a0002,n2o indirect,"kg n volatized per kg synthetic n, nitrate",frac,0.01,NA
a0002,n2o indirect,"kg n volatized per kg synthetic n, ammonium-nitrate",frac,0.05,NA
a0002,n2o indirect,"kg n volatized per kg organic n, organic",frac,0.21,NA
a0002,n2o indirect,kg n-n2o per kg n volatalized,frac,0.005,NA
a0002,n2o indirect,kg n leached per kg n,frac,0.24,NA
a0002,n2o indirect,kg n-n2o per kg n leached,frac,0.011,NA
a0002,fertilizer avoidance,type of fertilizer avoided,NA,uan-32,NA
a0002,fertilizer avoidance,"avoided fertilizer, wheat",lb n/ac,80,NA
a0002,fertilizer avoidance,"avoided fertilizer, tomatoes",lb n/ac,170,NA
a0002,fuel,chisel,l diesel/ha,11.69240525,NA
a0002,fuel,disk,l diesel/ha,7.0154433,NA
a0002,fuel,disk border ridges,l diesel/ha,7.0154433,NA
a0002,fuel,laser level,l diesel/ha,8.418531,NA
a0002,fuel,plant,l diesel/ha,5.0511193,NA
a0002,fuel,roll,l diesel/ha,3.383002567,NA
a0002,fuel,stand termination,l diesel/ha,7.0154433,NA
a0002,fuel,weed control,l diesel/ha,1.2160101,NA
a0002,fuel,insect control,l diesel/ha,1.2160101,NA
a0002,fuel,"fertilize, map",l diesel/ha,1.2160101,NA
a0002,fuel,"haylage, cut",l diesel/ha,3.2738733,NA
a0002,fuel,"haylage, chop",l diesel/ha,6.828365,NA
a0002,fuel,"hay, swath",l diesel/ha,6.828365,NA
a0002,fuel,"hay, rake",l diesel/ha,3.2738733,NA
a0002,fuel,"hay, bale",l diesel/ha,3.554491,NA
a0002,fuel,"hay, stack",l diesel/ha,6.828365,NA
a0002,pesticide manufacture,flumioxazin,mj/kg ai,264.5,NA
a0002,pesticide manufacture,chlorantraniliprole,mj/kg ai,214,NA
a0002,pesticide manufacture,paraquat,mj/kg ai,459.4,NA
a0002,pesticide manufacture,pendimethalin,mj/kg ai,264.5,NA
a0002,pesticide manufacture,glyphosate,mj/kg ai,454,NA
a0002,pesticide manufacture,lambda-cyhalothrin,mj/kg ai,214,NA
a0002,seed manufacture,seed yield,lbs/ac,500,NA
a0002,seed manufacture,energy for seed production?,mj/ac,NA,NA
a0002,energy source,irrigation,NA,diesel,NA
a0002,energy source,"fuel, field ops",NA,diesel,NA
a0002,energy source,"fuel, harvest",NA,diesel,NA
a0002,data source,fuel energy content,NA,epa,NA
a0002,data source,conversion factor,NA,NA,NA
a0002,data source,ghg from fuel,NA,epa,NA
a0002,gwp,timespan,years,100,NA
