scenario_id,cat,desc,unit,value,change_ind,notes
scen_0001,irrigation,fraction from surface source,frac,0.5,y,NA
scen_0001,yield,stand life,years,3,n,NA
scen_0001,yield,"hay, harvests",harvest/year,7,n,NA
scen_0001,yield,"haylage, harvests",harvest/year,2,n,NA
scen_0001,yield,hay production,ton/ac/yr at 10% moisture,10,n,NA
scen_0001,yield,haylage production,ton/ac/yr at 30% moisture,3,n,NA
scen_0001,irrigation,"sprinkler, est",ac-in/stand life,8,n,NA
scen_0001,irrigation,"surface, prod",ac-in/year,64,n,NA
scen_0001,irrigation,depth of well,feet,150,n,NA
scen_0001,irrigation,pump pressure,psi,25,n,NA
scen_0001,irrigation,surface irr eff,frac,0.7,n,NA
scen_0001,irrigation,sprinkler irr eff,frac,0.8,n,NA
scen_0001,irrigation,drip irr eff,frac,0.9,n,NA
scen_0001,seed,"round-up ready seed, non-dormant",lb/ac,25,n,NA
scen_0001,fertility,11-52-0 map,lb/ac/pass,200,n,NA
scen_0001,pesticide,roundup powermaxx,pint/ac,2,n,NA
scen_0001,pesticide,roundup powermaxx,pint/ac,2,n,NA
scen_0001,pesticide,roundup powermaxx,pint/ac,2,n,NA
scen_0001,pesticide,roundup powermaxx,pint/ac,2,n,NA
scen_0001,pesticide,roundup powermaxx,pint/ac,2,n,NA
scen_0001,pesticide,roundup powermaxx,pint/ac,2,n,NA
scen_0001,pesticide,roundup powermaxx,pint/ac,2,n,NA
scen_0001,pesticide,roundup powermaxx,pint/ac,2,n,NA
scen_0001,pesticide,warrior ii,fl oz/ac,1.5,n,NA
scen_0001,pesticide,warrior ii,fl oz/ac,1.5,n,NA
scen_0001,pesticide,warrior ii,fl oz/ac,1.5,n,NA
scen_0001,pesticide,coragen,fl oz/ac,3.5,n,NA
scen_0001,pesticide,coragen,fl oz/ac,3.5,n,NA
scen_0001,pesticide,coragen,fl oz/ac,3.5,n,NA
scen_0001,pesticide,chateau,oz/ac,4,n,NA
scen_0001,pesticide,chateau,oz/ac,4,n,NA
scen_0001,pesticide,chateau,oz/ac,4,n,NA
scen_0001,pesticide,prowl h2o,gal/ac,1,n,NA
scen_0001,pesticide,prowl h2o,gal/ac,1,n,NA
scen_0001,pesticide,prowl h2o,gal/ac,1,n,NA
scen_0001,pesticide,gramoxone,pint/ac,1.5,n,NA
scen_0001,pesticide,gramoxone,pint/ac,1.5,n,NA
scen_0001,pesticide,gramoxone,pint/ac,1.5,n,NA
scen_0001,pesticide,roundup powermaxx,pint/ac,2,n,NA
scen_0001,pesticide,roundup powermaxx,pint/ac,2,n,NA
scen_0001,pesticide,roundup powermaxx,pint/ac,2,n,NA
scen_0001,pesticide,roundup powermaxx,pint/ac,2,n,NA
scen_0001,pesticide,warrior ii,fl oz/ac,1.5,n,NA
scen_0001,pesticide,warrior ii,fl oz/ac,1.5,n,NA
scen_0001,pesticide,warrior ii,fl oz/ac,1.5,n,NA
scen_0001,pesticide,coragen,fl oz/ac,3.5,n,NA
scen_0001,pesticide,coragen,fl oz/ac,3.5,n,NA
scen_0001,pesticide,coragen,fl oz/ac,3.5,n,NA
scen_0001,pesticide,chateau,oz/ac,4,n,NA
scen_0001,pesticide,chateau,oz/ac,4,n,NA
scen_0001,pesticide,chateau,oz/ac,4,n,NA
scen_0001,pesticide,prowl h2o,gal/ac,1,n,NA
scen_0001,pesticide,prowl h2o,gal/ac,1,n,NA
scen_0001,pesticide,prowl h2o,gal/ac,1,n,NA
scen_0001,pesticide,gramoxone,pint/ac,1.5,n,NA
