scenario_id,cat,desc,fuel_type,unit,value
scen_0003,fertilizer avoidance,avoided uan-32 manu energy,NA,GJ_stand,-11.05919780752714
scen_0003,fertilizer avoidance,avoided uan-32 manu energy,NA,GJ_hayr,-3.6863992691757135
scen_0003,fertilizer avoidance,avoided uan-32 manu energy,NA,MJ_kgyield,-0.14814991177664164
scen_0003,fertility,"11-52-0 map, nitrogen",NA,GJ_stand,5.72476121801405
scen_0003,fertility,"11-52-0 map, nitrogen",NA,GJ_hayr,1.9082537393380168
scen_0003,fertility,"11-52-0 map, nitrogen",NA,MJ_kgyield,0.07668936609614393
scen_0003,fertility,"11-52-0 map, p2o5",NA,GJ_stand,14.022818266925006
scen_0003,fertility,"11-52-0 map, p2o5",NA,GJ_hayr,4.6742727556416686
scen_0003,fertility,"11-52-0 map, p2o5",NA,MJ_kgyield,0.18785081208067725
scen_0003,field passes,field ops,diesel,GJ_stand,5.986714799106786
scen_0003,field passes,field ops,diesel,GJ_hayr,1.9955715997022618
scen_0003,field passes,field ops,diesel,MJ_kgyield,0.08019851753767528
scen_0003,field passes,harvest,diesel,GJ_stand,18.877580223096167
scen_0003,field passes,harvest,diesel,GJ_hayr,6.292526741032056
scen_0003,field passes,harvest,diesel,MJ_kgyield,0.25288559742594235
scen_0003,irrigation,"sprinkler, surface",diesel,GJ_stand,0.2356922470897968
scen_0003,irrigation,"sprinkler, surface",diesel,GJ_hayr,0.07856408236326559
scen_0003,irrigation,"sprinkler, surface",diesel,MJ_kgyield,0.003157352478949783
scen_0003,irrigation,"surface, surface",diesel,GJ_stand,6.464701634462998
scen_0003,irrigation,"surface, surface",diesel,GJ_hayr,2.1549005448209995
scen_0003,irrigation,"surface, surface",diesel,MJ_kgyield,0.0866016679940512
scen_0003,fuel manufacture,field ops,diesel,GJ_stand,1.4231857889028616
scen_0003,fuel manufacture,field ops,diesel,GJ_hayr,0.4743952629676205
scen_0003,fuel manufacture,field ops,diesel,MJ_kgyield,0.019065112383126318
scen_0003,fuel manufacture,harvest,diesel,GJ_stand,4.487653880955314
scen_0003,fuel manufacture,harvest,diesel,GJ_hayr,1.4958846269851047
scen_0003,fuel manufacture,harvest,diesel,MJ_kgyield,0.060116975762484724
scen_0003,fuel manufacture,"sprinkler, surface",diesel,GJ_stand,0.05602970374717486
scen_0003,fuel manufacture,"sprinkler, surface",diesel,GJ_hayr,0.018676567915724952
scen_0003,fuel manufacture,"sprinkler, surface",diesel,MJ_kgyield,7.505784607058582e-4
scen_0003,fuel manufacture,"surface, surface",diesel,GJ_stand,1.536814731351082
scen_0003,fuel manufacture,"surface, surface",diesel,GJ_hayr,0.5122715771170273
scen_0003,fuel manufacture,"surface, surface",diesel,MJ_kgyield,0.02058729492221783
scen_0003,pesticide,flumioxazin,NA,GJ_stand,0.0011862493891411636
scen_0003,pesticide,flumioxazin,NA,GJ_hayr,3.954164630470545e-4
scen_0003,pesticide,flumioxazin,NA,MJ_kgyield,1.5891093133965283e-5
scen_0003,pesticide,chlorantraniliprole,NA,GJ_stand,2.1219253924582344e-4
scen_0003,pesticide,chlorantraniliprole,NA,GJ_hayr,7.073084641527448e-5
scen_0003,pesticide,chlorantraniliprole,NA,MJ_kgyield,2.8425484846228225e-6
scen_0003,pesticide,paraquat,NA,GJ_stand,0.027291720241533344
scen_0003,pesticide,paraquat,NA,GJ_hayr,0.009097240080511115
scen_0003,pesticide,paraquat,NA,MJ_kgyield,3.6560210029555775e-4
scen_0003,pesticide,pendimethalin,NA,GJ_stand,1.4694276628638328
scen_0003,pesticide,pendimethalin,NA,GJ_hayr,0.4898092209546109
scen_0003,pesticide,pendimethalin,NA,MJ_kgyield,0.019684572281297382
scen_0003,pesticide,glyphosate,NA,GJ_stand,0.6949773234420069
scen_0003,pesticide,glyphosate,NA,GJ_hayr,0.23165910781400229
scen_0003,pesticide,glyphosate,NA,MJ_kgyield,0.009309972653226476
scen_0003,pesticide,lambda-cyhalothrin,NA,GJ_stand,6.046029570680103e-5
scen_0003,pesticide,lambda-cyhalothrin,NA,GJ_hayr,2.015343190226701e-5
scen_0003,pesticide,lambda-cyhalothrin,NA,MJ_kgyield,8.099310303370987e-7
scen_0003,carbon credit,co2,NA,kgco2e_stand,-1927.4219754438898
scen_0003,carbon credit,co2,NA,kgco2e_hayr,-642.4739918146299
scen_0003,carbon credit,co2,NA,kgco2e_Mgyield,-25.81990127927928
scen_0003,fertility,"11-52-0 map, nitrogen",diesel,kgco2e_stand,407.46393573315083
scen_0003,fertility,"11-52-0 map, nitrogen",diesel,kgco2e_hayr,135.8213119110503
scen_0003,fertility,"11-52-0 map, nitrogen",diesel,kgco2e_Mgyield,5.458419966947619
scen_0003,fertility,"11-52-0 map, p2o5",diesel,kgco2e_stand,998.0840254319164
scen_0003,fertility,"11-52-0 map, p2o5",diesel,kgco2e_hayr,332.6946751439721
scen_0003,fertility,"11-52-0 map, p2o5",diesel,kgco2e_Mgyield,13.370414643707049
scen_0003,fertilizer avoidance,avoided uan-32 manu energy,diesel,kgco2e_stand,-787.1462394844957
scen_0003,fertilizer avoidance,avoided uan-32 manu energy,diesel,kgco2e_hayr,-262.3820798281652
scen_0003,fertilizer avoidance,avoided uan-32 manu energy,diesel,kgco2e_Mgyield,-10.544674936148807
scen_0003,field passes,field ops,diesel,kgco2e_stand,426.10866746372017
scen_0003,field passes,field ops,diesel,kgco2e_hayr,142.0362224879067
scen_0003,field passes,field ops,diesel,kgco2e_Mgyield,5.708186307061634
scen_0003,field passes,harvest,diesel,kgco2e_stand,1343.6251473016769
scen_0003,field passes,harvest,diesel,kgco2e_hayr,447.87504910055895
scen_0003,field passes,harvest,diesel,kgco2e_Mgyield,17.99931156834334
scen_0003,fuel manufacture,field ops,diesel,kgco2e_stand,101.2962568641454
scen_0003,fuel manufacture,field ops,diesel,kgco2e_hayr,33.76541895471514
scen_0003,fuel manufacture,field ops,diesel,kgco2e_Mgyield,1.35697288165992
scen_0003,fuel manufacture,harvest,diesel,kgco2e_stand,319.4119445171439
scen_0003,fuel manufacture,harvest,diesel,kgco2e_hayr,106.4706481723813
scen_0003,fuel manufacture,harvest,diesel,kgco2e_Mgyield,4.278868343272853
scen_0003,fuel manufacture,"sprinkler, surface",diesel,kgco2e_stand,3.987953861716911
scen_0003,fuel manufacture,"sprinkler, surface",diesel,kgco2e_hayr,1.329317953905637
scen_0003,fuel manufacture,"sprinkler, surface",diesel,kgco2e_Mgyield,0.05342295373182995
scen_0003,fuel manufacture,"surface, surface",diesel,kgco2e_stand,109.38387734994956
scen_0003,fuel manufacture,"surface, surface",diesel,kgco2e_hayr,36.46129244998318
scen_0003,fuel manufacture,"surface, surface",diesel,kgco2e_Mgyield,1.4653153023587644
scen_0003,irrigation,"sprinkler, surface",diesel,kgco2e_stand,16.77556267653628
scen_0003,irrigation,"sprinkler, surface",diesel,kgco2e_hayr,5.591854225512093
scen_0003,irrigation,"sprinkler, surface",diesel,kgco2e_Mgyield,0.22472679969977766
scen_0003,irrigation,"surface, surface",diesel,kgco2e_stand,460.12971912785224
scen_0003,irrigation,"surface, surface",diesel,kgco2e_hayr,153.37657304261742
scen_0003,irrigation,"surface, surface",diesel,kgco2e_Mgyield,6.163935077479616
scen_0003,pesticide,chlorantraniliprole,diesel,kgco2e_stand,0.015102954321002754
scen_0003,pesticide,chlorantraniliprole,diesel,kgco2e_hayr,0.005034318107000918
scen_0003,pesticide,chlorantraniliprole,diesel,kgco2e_Mgyield,2.023204023623045e-4
scen_0003,pesticide,flumioxazin,diesel,kgco2e_stand,0.08443214073969403
scen_0003,pesticide,flumioxazin,diesel,kgco2e_hayr,0.028144046913231344
scen_0003,pesticide,flumioxazin,diesel,kgco2e_Mgyield,0.0011310598127818108
scen_0003,pesticide,glyphosate,diesel,kgco2e_stand,49.46550339320652
scen_0003,pesticide,glyphosate,diesel,kgco2e_hayr,16.48850113106884
scen_0003,pesticide,glyphosate,diesel,kgco2e_Mgyield,0.6626438997865559
scen_0003,pesticide,lambda-cyhalothrin,diesel,kgco2e_stand,0.0043033043835546065
scen_0003,pesticide,lambda-cyhalothrin,diesel,kgco2e_hayr,0.0014344347945182022
scen_0003,pesticide,lambda-cyhalothrin,diesel,kgco2e_Mgyield,5.764741492712338e-5
scen_0003,pesticide,paraquat,diesel,kgco2e_stand,1.942507524602222
scen_0003,pesticide,paraquat,diesel,kgco2e_hayr,0.6475025082007407
scen_0003,pesticide,paraquat,diesel,kgco2e_Mgyield,0.026021988520669247
scen_0003,pesticide,pendimethalin,diesel,kgco2e_stand,104.58755500607035
scen_0003,pesticide,pendimethalin,diesel,kgco2e_hayr,34.86251833535678
scen_0003,pesticide,pendimethalin,diesel,kgco2e_Mgyield,1.4010633788047426
scen_0003,n2o,"direct, fert n",NA,kgco2e_stand,230.94660661129828
scen_0003,n2o,"direct, fert n",NA,kgco2e_hayr,76.9822022037661
scen_0003,n2o,"direct, fert n",NA,kgco2e_Mgyield,3.093779493779494
scen_0003,n2o,"direct, plant n",NA,kgco2e_stand,200.0312540444677
scen_0003,n2o,"direct, plant n",NA,kgco2e_hayr,66.67708468148923
scen_0003,n2o,"direct, plant n",NA,kgco2e_Mgyield,2.679634920634921
scen_0003,avoided n2o,"direct, fert n",NA,kgco2e_stand,-446.1468536809171
scen_0003,avoided n2o,"direct, fert n",NA,kgco2e_hayr,-148.71561789363903
scen_0003,avoided n2o,"direct, fert n",NA,kgco2e_Mgyield,-5.976619476619476
scen_0003,avoided n2o,"indirect, volatilize",NA,kgco2e_stand,-66.92202805213756
scen_0003,avoided n2o,"indirect, volatilize",NA,kgco2e_hayr,-22.307342684045853
scen_0003,avoided n2o,"indirect, volatilize",NA,kgco2e_Mgyield,-0.8964929214929214
scen_0003,n2o,"indirect, volatilize",NA,kgco2e_stand,18.47572852890386
scen_0003,n2o,"indirect, volatilize",NA,kgco2e_hayr,6.158576176301287
scen_0003,n2o,"indirect, volatilize",NA,kgco2e_Mgyield,0.2475023595023595
scen_0003,avoided n2o,"indirect, leach",NA,kgco2e_stand,-235.56553874352417
scen_0003,avoided n2o,"indirect, leach",NA,kgco2e_hayr,-78.5218462478414
scen_0003,avoided n2o,"indirect, leach",NA,kgco2e_Mgyield,-3.1556550836550827
scen_0003,n2o,"indirect, leach",NA,kgco2e_stand,227.55631042624438
scen_0003,n2o,"indirect, leach",NA,kgco2e_hayr,75.8521034754148
scen_0003,n2o,"indirect, leach",NA,kgco2e_Mgyield,3.04836281081081
