scenario_id,cat,desc,unit,value,notes
scen_1007,pesticide,raptor,oz/ac,0,est
,,herbimax,pt/ac,0,est
,,TriCor 75DF,lbs/ac,0,yr1
,,gramoxone,pt/ac,0,
,,activator 90,fl oz/ac,0,
,,steward,fl oz/ac,0,
,,zinc phosphide,lb/ac,0,
,,TriCor 75DF,lbs/ac,0,yr2
,,gramoxone,pt/ac,0,
,,activator 90,fl oz/ac,0,
,,steward,fl oz/ac,0,
,,zinc phosphide,lb/ac,0,
,,TriCor 75DF,lbs/ac,0,yr3
,,gramoxone,pt/ac,0,
,,activator 90,fl oz/ac,0,
,,steward,fl oz/ac,0,
,,zinc phosphide,lb/ac,0,
,,TriCor 75DF,lbs/ac,0,yr4
,,gramoxone,pt/ac,0,
,,activator 90,fl oz/ac,0,
,,steward,fl oz/ac,0,
,,zinc phosphide,lb/ac,0,
,,TriCor 75DF,lbs/ac,0,yr5
,,gramoxone,pt/ac,0,
,,activator 90,fl oz/ac,0,
,,steward,fl oz/ac,0,
,,zinc phosphide,lb/ac,0,
,,TriCor 75DF,lbs/ac,0,yr6
,,gramoxone,pt/ac,0,
,,activator 90,fl oz/ac,0,
,,steward,fl oz/ac,0,
,,zinc phosphide,lb/ac,0,
