scenario_id,cat,desc,fuel_type,unit,value
scen_0001,fertilizer avoidance,avoided uan-32 manu energy,NA,GJ_stand,-11.05919780752714
scen_0001,fertilizer avoidance,avoided uan-32 manu energy,NA,GJ_hayr,-3.6863992691757135
scen_0001,fertilizer avoidance,avoided uan-32 manu energy,NA,GJ_Mgyield,-0.14814991177664172
scen_0001,fertility,"11-52-0 map, n_comp",NA,GJ_stand,2.860412516296126
scen_0001,fertility,"11-52-0 map, n_comp",NA,GJ_hayr,0.9534708387653752
scen_0001,fertility,"11-52-0 map, n_comp",NA,GJ_Mgyield,0.0383183183183183
scen_0001,fertility,"11-52-0 map, p_comp",NA,GJ_stand,7.017425815841216
scen_0001,fertility,"11-52-0 map, p_comp",NA,GJ_hayr,2.3391419386137384
scen_0001,fertility,"11-52-0 map, p_comp",NA,GJ_Mgyield,0.09400600600600596
scen_0001,field passes,field ops,diesel,GJ_stand,3.2326101426425766
scen_0001,field passes,field ops,diesel,GJ_hayr,1.0775367142141925
scen_0001,field passes,field ops,diesel,GJ_Mgyield,0.04330430794128823
scen_0001,field passes,harvest,diesel,GJ_stand,18.877580223096167
scen_0001,field passes,harvest,diesel,GJ_hayr,6.292526741032056
scen_0001,field passes,harvest,diesel,GJ_Mgyield,0.2528855974259424
scen_0001,irrigation,"sprinkler, surface",diesel,GJ_stand,0.2356922470897968
scen_0001,irrigation,"sprinkler, surface",diesel,GJ_hayr,0.07856408236326559
scen_0001,irrigation,"sprinkler, surface",diesel,GJ_Mgyield,0.00315735247894978
scen_0001,irrigation,"sprinkler, ground",diesel,GJ_stand,1.4916972521440817
scen_0001,irrigation,"sprinkler, ground",diesel,GJ_hayr,0.49723241738136054
scen_0001,irrigation,"sprinkler, ground",diesel,GJ_Mgyield,0.01998289750746573
scen_0001,irrigation,"flood, ground",diesel,GJ_stand,34.45042299577467
scen_0001,irrigation,"flood, ground",diesel,GJ_hayr,11.48347433192489
scen_0001,irrigation,"flood, ground",diesel,GJ_Mgyield,0.46150066363929454
scen_0001,field passes,fuel manufacture,diesel,GJ_stand,0.768469013549564
scen_0001,field passes,fuel manufacture,diesel,GJ_hayr,0.25615633784985464
scen_0001,field passes,fuel manufacture,diesel,GJ_Mgyield,0.0102944733010348
scen_0001,field passes,fuel manufacture,diesel,GJ_stand,4.487653880955314
scen_0001,field passes,fuel manufacture,diesel,GJ_hayr,1.4958846269851047
scen_0001,field passes,fuel manufacture,diesel,GJ_Mgyield,0.06011697576248474
scen_0001,irrigation,fuel manufacture,diesel,GJ_stand,0.05602970374717486
